Date,Open,High,Low,Close,Volume,Adj Close
1/2/2013,20.12,20.34,20.01,20.34,40304500,19.42
1/3/2013,20.46,20.5,20.3,20.45,50603500,19.53
1/4/2013,20.41,20.68,20.39,20.48,36378900,19.56
1/7/2013,20.38,20.42,20.16,20.29,30790700,19.38
1/8/2013,20.18,20.34,20.08,20.31,33218100,19.4
1/9/2013,20.26,20.54,20.25,20.3,30380100,19.39
1/10/2013,20.35,20.49,20.29,20.44,31419200,19.52
1/11/2013,20.4,20.51,20.33,20.48,23423800,19.56
1/14/2013,20.68,20.99,20.65,20.97,55156900,20.03
1/15/2013,20.92,20.99,20.78,20.98,29550900,20.04
1/16/2013,20.91,21.18,20.88,21.03,39685100,20.08
1/17/2013,20.79,21.03,20.78,20.95,41951400,20.01
1/18/2013,20.85,21.04,20.81,21.02,42835000,20.07
1/22/2013,20.95,21,20.61,20.87,35955400,19.93
1/23/2013,20.89,20.89,20.61,20.62,37130100,19.69
1/24/2013,20.85,21.1,20.82,21.02,47256000,20.07
1/25/2013,21.1,21.25,21.05,21.15,28354800,20.2
1/28/2013,21.21,21.26,21.05,21.06,30431400,20.11
1/29/2013,20.98,20.99,20.65,20.78,35300200,19.84
1/30/2013,20.86,20.87,20.4,20.58,35260400,19.65
1/31/2013,20.62,20.9,20.56,20.57,29992500,19.64
2/1/2013,20.73,20.91,20.6,20.83,25754100,19.89
2/4/2013,20.87,21.13,20.79,20.82,32053300,19.88
2/5/2013,20.88,21.2,20.88,21.08,24952600,20.13
2/6/2013,21.05,21.22,20.98,21.19,27848400,20.24
2/7/2013,21.21,21.26,21,21.1,34442900,20.15
2/8/2013,21.17,21.3,21.13,21.16,23056900,20.21
2/11/2013,21.24,21.34,21.15,21.27,33552000,20.31
2/12/2013,21.25,21.27,20.94,20.97,46463500,20.03
2/13/2013,21,21.14,20.93,21.14,63608700,20.19
2/14/2013,20.88,21,20.51,20.99,67172100,20.05
2/15/2013,20.94,21.07,20.92,20.99,44439700,20.05
2/19/2013,21.01,21.48,20.95,21.46,45590500,20.49
2/20/2013,21.49,21.67,21.07,21.11,47494700,20.16
2/21/2013,21,21.02,20.71,20.76,33007100,19.83
2/22/2013,20.81,20.93,20.72,20.9,20483300,19.96
2/25/2013,21,21.2,20.65,20.66,37391400,19.73
2/26/2013,20.54,20.78,20.5,20.61,34254700,19.68
2/27/2013,20.6,21.02,20.44,20.89,25190900,19.95
2/28/2013,20.89,21.05,20.74,20.86,30337500,19.92
3/1/2013,20.71,20.9,20.55,20.83,24174800,19.89
3/4/2013,20.74,20.78,20.58,20.74,22634600,19.81
3/5/2013,20.83,21.25,20.83,21.22,32829500,20.26
3/6/2013,21.3,21.79,21.24,21.72,45966600,20.74
3/7/2013,21.72,21.97,21.68,21.8,37379500,20.82
3/8/2013,21.84,21.97,21.77,21.83,23839100,20.85
3/11/2013,21.77,21.98,21.65,21.88,29120000,20.89
3/12/2013,21.76,21.84,21.54,21.7,25987300,20.72
3/13/2013,21.65,21.8,21.51,21.58,30188200,20.61
3/14/2013,21.7,21.86,21.45,21.59,40479600,20.62
3/15/2013,21.57,21.95,21.38,21.93,59804200,20.94
3/18/2013,21.74,21.95,21.61,21.67,30222300,20.69
3/19/2013,21.71,21.75,21.3,21.52,27264100,20.55
3/20/2013,21.63,21.74,21.58,21.67,24571600,20.69
3/21/2013,21,21.18,20.72,20.84,64437700,19.9
3/22/2013,20.93,21.07,20.69,20.75,39902900,19.82
3/25/2013,20.88,20.99,20.71,20.85,36429100,19.91
