Date,Open,High,Low,Close,Volume,Adj Close
1/2/2013,719.42,727,716.55,723.25,5077500,361.99
1/3/2013,724.93,731.93,720.72,723.67,4631700,362.2
1/4/2013,729.34,741.47,727.68,737.97,5521400,369.35
1/7/2013,735.45,739.38,730.58,734.75,3308000,367.74
1/8/2013,735.54,736.3,724.43,733.3,3348800,367.02
1/9/2013,732.27,738.35,728.6,738.12,4045300,369.43
1/10/2013,742.83,745,733.5,741.48,3667700,371.11
1/11/2013,742,742.43,736.3,739.99,2567800,370.37
1/14/2013,737,742.2,722.35,723.25,5722000,361.99
1/15/2013,719.33,735,712.1,724.93,7847500,362.83
1/16/2013,722.4,724.34,713.67,715.19,4042700,357.95
1/17/2013,717.71,719.64,711.02,711.32,4418500,356.02
1/18/2013,710.36,712.77,701.33,704.51,6447100,352.61
1/22/2013,704.66,705.34,695.52,702.87,7577200,351.79
1/23/2013,735.99,749,735.79,741.5,11806300,371.12
1/24/2013,741.24,756.83,740.51,754.21,6758600,377.48
1/25/2013,750.77,758.48,750.25,753.67,4447300,377.21
1/28/2013,751.76,755.6,747.89,750.73,3250900,375.74
1/29/2013,746.75,756.95,746.54,753.68,3490700,377.22
1/30/2013,753.74,760.95,752.91,753.83,3462500,377.29
1/31/2013,750.51,757.62,750.25,755.69,3265100,378.22
2/1/2013,758.2,776.6,758.1,775.6,7484700,388.19
2/4/2013,767.69,770.47,758.27,759.02,6074900,379.89
2/5/2013,761.13,771.11,759.47,765.74,3737600,383.25
2/6/2013,759.07,772.96,758.5,770.17,4152000,385.47
2/7/2013,769.7,778.81,765.5,773.95,5674700,387.36
2/8/2013,780.13,786.67,779.56,785.37,6034100,393.08
2/11/2013,778.4,783,773.75,782.42,4331200,391.6
2/12/2013,781.75,787.9,779.37,780.7,3714200,390.74
2/13/2013,780.13,785.35,779.97,782.86,2394000,391.82
2/14/2013,779.73,788.74,777.77,787.82,3467100,394.3
2/15/2013,787.4,793.26,787.07,792.89,5454100,396.84
2/19/2013,795.99,807,795.28,806.85,5857700,403.83
2/20/2013,805.3,808.97,791.79,792.46,5522800,396.63
2/21/2013,798,805.45,791.22,795.53,7005700,398.16
2/22/2013,799.26,801.25,793.8,799.71,4103600,400.26
2/25/2013,802.3,808.41,790.49,790.77,4603100,395.78
2/26/2013,795,795.95,784.4,790.13,4400500,395.46
2/27/2013,794.8,804.75,791.11,799.78,4048100,400.29
2/28/2013,801.1,806.99,801.03,801.2,4527000,401
3/1/2013,797.8,807.14,796.15,806.19,4346400,403.5
3/4/2013,805.3,822.84,805,821.5,5545600,411.16
3/5/2013,828.93,840.15,828.9,838.6,8080100,419.72
3/6/2013,841.03,844,828.81,831.38,5740200,416.11
3/7/2013,834.06,836.62,829.58,832.6,4101200,416.72
3/8/2013,834.5,834.92,825.05,831.52,5817900,416.18
3/11/2013,831.69,839.7,831.5,834.82,3186200,417.83
3/12/2013,830.71,831.89,823.67,827.61,4012500,414.22
3/13/2013,827.9,830.69,822.31,825.31,3279300,413.07
3/14/2013,826.99,826.99,817.39,821.54,3299000,411.18
3/15/2013,818.5,820.3,813.34,814.3,6193200,407.56
3/18/2013,805,812.76,801.47,807.79,3672900,404.3
3/19/2013,811.24,819.25,806.45,811.32,4192200,406.07
3/20/2013,816.83,817.51,811.44,814.71,2924600,407.76
3/21/2013,811.29,816.92,809.85,811.26,2952200,406.04
