Date,Open,High,Low,Close,Volume,Adj Close
1/2/2013,27.25,27.73,27.15,27.62,52899300,26.26
1/3/2013,27.63,27.65,27.16,27.25,48294400,25.91
1/4/2013,27.27,27.34,26.73,26.74,52521100,25.42
1/7/2013,26.77,26.88,26.64,26.69,37110400,25.37
1/8/2013,26.75,26.79,26.46,26.55,44703100,25.24
1/9/2013,26.72,26.75,26.56,26.7,49047900,25.38
1/10/2013,26.65,26.98,26.29,26.46,71431300,25.16
1/11/2013,26.49,26.93,26.28,26.83,55512100,25.51
1/14/2013,26.9,27.08,26.76,26.89,48324400,25.56
1/15/2013,26.83,27.29,26.83,27.21,48244500,25.87
1/16/2013,27.15,27.23,27.01,27.04,41077400,25.71
1/17/2013,27.19,27.47,27.06,27.25,51685900,25.91
1/18/2013,27.1,27.29,27.04,27.25,52167700,25.91
1/22/2013,27.3,27.45,27,27.15,58650600,25.81
1/23/2013,27.2,27.64,27.2,27.61,50387700,26.25
1/24/2013,27.7,28.07,27.47,27.63,101739300,26.27
1/25/2013,27.58,28.23,27.39,27.88,81847700,26.51
1/28/2013,28.01,28.23,27.76,27.91,56056500,26.53
1/29/2013,27.82,28.13,27.6,28.01,49242600,26.63
1/30/2013,28.01,28.19,27.76,27.85,43580500,26.48
1/31/2013,27.79,27.97,27.4,27.45,50530000,26.1
2/1/2013,27.67,28.05,27.55,27.93,55565900,26.55
2/4/2013,27.87,28.02,27.42,27.44,50540000,26.09
2/5/2013,27.62,27.66,27.36,27.5,35410400,26.14
2/6/2013,27.38,27.54,27.25,27.34,41889600,25.99
2/7/2013,27.35,27.39,27.1,27.28,38028300,25.94
2/8/2013,27.35,27.71,27.31,27.55,33318500,26.19
2/11/2013,27.65,27.92,27.5,27.86,32247700,26.49
2/12/2013,27.88,28,27.75,27.88,35990900,26.51
2/13/2013,27.93,28.11,27.88,28.03,41715600,26.65
2/14/2013,27.92,28.06,27.87,28.04,32663200,26.66
2/15/2013,28.04,28.16,27.88,28.01,49650900,26.63
2/19/2013,27.88,28.09,27.8,28.05,38781400,26.89
2/20/2013,28.13,28.2,27.83,27.87,44110200,26.72
2/21/2013,27.74,27.74,27.23,27.49,49078500,26.35
2/22/2013,27.68,27.76,27.48,27.76,31425900,26.61
2/25/2013,27.97,28.05,27.37,27.37,48011800,26.24
2/26/2013,27.38,27.6,27.34,27.37,49923300,26.24
2/27/2013,27.42,28,27.33,27.81,36394700,26.66
2/28/2013,27.88,27.97,27.74,27.8,35840200,26.65
3/1/2013,27.72,27.98,27.52,27.95,34849700,26.79
3/4/2013,27.85,28.15,27.7,28.15,38157500,26.98
3/5/2013,28.29,28.54,28.16,28.35,41432200,27.18
3/6/2013,28.21,28.23,27.78,28.09,51448500,26.93
3/7/2013,28.11,28.28,28.01,28.14,29196700,26.97
3/8/2013,28.25,28.33,27.96,28,37667800,26.84
3/11/2013,27.94,27.97,27.67,27.87,36627500,26.72
3/12/2013,27.84,27.95,27.64,27.91,39255200,26.75
3/13/2013,27.87,28.02,27.75,27.92,29093400,26.76
3/14/2013,28,28.16,27.93,28.14,55914800,26.97
3/15/2013,28.03,28.16,27.98,28.04,92710300,26.88
3/18/2013,27.88,28.28,27.81,28.1,44809400,26.94
3/19/2013,28.12,28.22,28.03,28.18,51901600,27.01
3/20/2013,28.34,28.49,28.18,28.32,35447800,27.15
3/21/2013,28.11,28.36,28.05,28.11,34233200,26.95
3/22/2013,28.19,28.34,28.1,28.25,28720900,27.08
3/25/2013,28.3,28.35,27.96,28.16,44154000,26.99
3/26/2013,28.24,28.34,28.11,28.16,27824300,26.99
